NEGERI,SURAU,ALAMAT,POSKOD,DAERAH,NO. TELEFON,NO. FAKSIMILI
JOHOR,SURAU NURUL YAQIN TAMAN SRI SAUJANA,PTD 12495 JALAN 2/4 TAMAN SRI SAUJANA ,81900,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU NURUL YAQIN TAMAN SRI SAUJANA,"PTD 12495 JALAN 2/4 TAMAN SRI SAUJANA
KOTA TINGGI JOHOR",81900,KOTA TINGGI,Tiada maklumat,Tiada maklumat
JOHOR,SURAU NURUL YAQIN TAMAN SRI SAUJANA,"PTD 12495 JALAN 2/4
TAMAN SRI SAUJANA
81900 KOTA TINGGI JOHOR.",81900,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU AS SYAKIRIN ,PUSAT  PEMUULIHAN AKHLAK JALAN SALLEH ,84000,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU PULAPOL,"PUSAT LATIHAN POLIS SEGAMAT
BULOH KASAP SEGAMAT",85000,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,"SURAU AS SYAKIRIN,",PUSAT PEMULIHAN AKHLAK JALAN SALEH MUAR,84000,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU AS SYAKIRIN PUSAT PEMULIHAN AKHLAK,PUSAT PEMULIHAN AKHLAK JALAN SALLEH MUAR,84000,Tiada maklumat,0197812453,Tiada maklumat
JOHOR,SURAU AS SYAKIRIN PUSAT PEMULIHAN AKHLAK,PUSAT PEMULIHAN AKHLAK JALAN SALLEH MUAR,84000,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU KG ORANG ASLI,"SIMPANG ARANG, 81550 GELANG PATAH, JOHOR",81550,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,"SURAU NURU HAQ,LADANG HADAPAN.","SURAU NURU HAQ,LADANG HADAPAN,,
81850 LAYANG-LAYANG,
JOHOR.",81850,KULAI,017-7132755,Tiada maklumat
JOHOR,SURAU TAMAN ILHAM,TAMAN ILHAM JALAN MERSING KLUANG JOHOR,86000,KLUANG,Tiada maklumat,Tiada maklumat
JOHOR,SURAU IMPIAN EMAS FASA 2,TAMAN IMPIAN EMAS,81300,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU HELWATU IMAN,"TAMAN MANIS,
KELAPA SAWIT,
KULAIJAYA,JOHOR.
",81030,Tiada maklumat,0187761886,Tiada maklumat
JOHOR,SURAU HELWATUL IMAN,"TAMAN MANIS,
KELAPA SAWIT,
KULAIJAYA.",81030,Tiada maklumat,0197761886,Tiada maklumat
JOHOR,SURAU AL-ISLAH,"TAMAN MEWAH
85300 LABIS
SEGAMAT",85300,SEGAMAT,07-9255678,Tiada maklumat
JOHOR,"SURAU AL-ABRAR,TAMAN MUHIBAH","TAMAN MUHIBAH,
SALENG, SENAI",81400,KULAI,013-7202377,Tiada maklumat
JOHOR,SURAU TAMAN NUSA PRINTIS 1,TAMAN NUSA PRINTIS GELANG PATAH,81150,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU RIBATUL MUSLIMIN,"TAMAN SERI SULONG, MUKIM 4, PARIT SULONG",83500,BATU PAHAT,Tiada maklumat,Tiada maklumat
JOHOR,TANJUNG PUTERI RESORT,"TAMAN TANJUNG PUTERI, PASIR PUTIH ",Tiada maklumat,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU AL-HIDAYAH,"TAMAN TITIWANGSA
JALAN RENGGAM
KLUANG",86000,KLUANG,Tiada maklumat,Tiada maklumat
JOHOR,"SURAU AL-EHSAN,TAMAN WAWASAN",TAMAN WAWASAN KELAPA SAWIT,81030,Tiada maklumat,0137384324,Tiada maklumat
JOHOR,SURAU AL-EHSAN TAMAN WAWASAN,"TAMAN WAWASAN, KELAPA SAWIT,KULAIJAYA.",81030,KULAI,017-7389627,Tiada maklumat
JOHOR,TAMAN BUKIT MUTIARA,TMN BUKIT MUTIARA,Tiada maklumat,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU NURUSSALAM,"TMN PULAI INDAH 
81300 JOHOR BAHRU",Tiada maklumat,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU NURUL FALAH SETIA INDAH,"TMN. SETIA INDAH
TEBRAU",81100,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
